2026-07-01 11:15:36,524 [INFO] Starting monitoring agent on LAPTOP-OIGSK0SV
2026-07-01 11:15:36,524 [INFO] Logged in as: VICTUS
2026-07-01 11:15:44,162 [WARNING] Attempt 1/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:51,359 [WARNING] Attempt 2/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:58,570 [WARNING] Attempt 3/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:58,571 [ERROR] All retry attempts failed. Skipping this reading.
2026-07-01 11:16:09,760 [WARNING] Attempt 1/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:16:16,970 [INFO] Monitoring agent stopped by user.
2026-07-01 11:17:02,027 [INFO] Starting monitoring agent on LAPTOP-OIGSK0SV
2026-07-01 11:17:02,027 [INFO] Logged in as: VICTUS
2026-07-01 11:17:04,515 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 7.2, 'ram': 69.8, 'disk': 58.4, 'network': 3.41, 'timestamp': '2026-07-01T05:47:04.050890+00:00'}
2026-07-01 11:17:10,901 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 9.3, 'ram': 69.5, 'disk': 58.4, 'network': 1.42, 'timestamp': '2026-07-01T05:47:10.527350+00:00'}
2026-07-01 11:17:17,223 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 11.0, 'ram': 69.7, 'disk': 58.4, 'network': 1.93, 'timestamp': '2026-07-01T05:47:16.917558+00:00'}
2026-07-01 11:17:23,720 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 13.2, 'ram': 69.7, 'disk': 58.4, 'network': 3.64, 'timestamp': '2026-07-01T05:47:23.236666+00:00'}
2026-07-01 11:17:30,040 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 16.2, 'ram': 69.6, 'disk': 58.4, 'network': 7.49, 'timestamp': '2026-07-01T05:47:29.734760+00:00'}
2026-07-01 11:17:36,441 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 8.4, 'ram': 69.7, 'disk': 58.4, 'network': 3.5, 'timestamp': '2026-07-01T05:47:36.052902+00:00'}
2026-07-01 11:17:42,756 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 24.3, 'ram': 70.0, 'disk': 58.4, 'network': 3.23, 'timestamp': '2026-07-01T05:47:42.452848+00:00'}
2026-07-01 11:17:49,163 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 12.7, 'ram': 70.1, 'disk': 58.4, 'network': 9.14, 'timestamp': '2026-07-01T05:47:48.769940+00:00'}
2026-07-01 11:17:55,484 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 10.7, 'ram': 70.1, 'disk': 58.4, 'network': 8.08, 'timestamp': '2026-07-01T05:47:55.178919+00:00'}
2026-07-01 11:18:01,755 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 9.0, 'ram': 70.0, 'disk': 58.4, 'network': 5.55, 'timestamp': '2026-07-01T05:48:01.498525+00:00'}
2026-07-01 11:18:08,206 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 10.9, 'ram': 69.7, 'disk': 58.4, 'network': 3.57, 'timestamp': '2026-07-01T05:48:07.768410+00:00'}
